0;Stipendien;Die Studienleistung soll das wesentliche Merkmal bei der Vergabe von Stipendien sein.;
0;BAföG;Das BAföG soll elternunabhängig ausgezahlt werden.;
0;Studiengebühren;Studiengebühren sind in allen Formen abzulehnen.;
0;Mindestlohn für Praktika;Der Mindestlohn soll für studentische Praktika gelten.;
0;Wohnheimplatzvergabe;Studierende aus dem Ausland sollen bei der Wohnheimplatzvergabe bevorzugt behandelt werden.;
0;Wohnheimsmiete;Die Studierendenwohnheimsplätze sollen aus dem Mietanteil des BAföG bezahlbar sein.;Der Mietanteil beim BAföG beträgt momentan 224€.
0;Kinderbetreuung;Das KIT soll Betreuungsmöglichkeiten, z.B. eine Kinderkrippe und einen Kindergarten für studierende Eltern anbieten.;
0;fzs;Die Studierendenschaft soll Mitglied im fzs (freier zusammenschluss von studentInnenschaften) werden.;Der fzs ist ein deutschlandweiter Dachverband von Studierendenvertretungen (<a href="http://www.fzs.de" target="_blank">www.fzs.de</a>)
0;Vorlesungsmaterialien;Alle Vorlesungsmaterialien sollen öffentlich, kostenfrei und digital zur Verfügung gestellt werden.;
0;Open Source-Software;Das KIT sollte bevorzugt frei verfügbare Software (Open Source) anstelle von Produkten kommerzieller Anbieter verwenden und den Studierenden bereitstellen.;
0;Open Access-Plattform;Forschungsergebnisse sollen grundsätzlich über eine Open-Access-Plattform öffentlich und kostenfrei zur Verfügung gestellt werden.;
0;Maximalstudienzeit;Die Maximalstudienzeit in den Prüfungsordnungen soll abgeschafft werden.;
0;Geschlechterquote;Professuren sollen über eine verbindliche Geschlechterquote besetzt werden.;
0;Veganes Essen;In der Mensa soll jeden Tag ein veganes Gericht angeboten werden. Dafür soll im Bedarfsfall ein Fleischgericht ersetzt werden.;
0;Landesweites Studiticket;Ein durch einen Solidarbeitrag finanziertes bundeslandweites Feierabend- und Wochenendticket soll eingeführt werden.;
0;Bildungsstreik;Der AStA soll sich am bundesweiten Bildungsstreik beteiligen.;Der Aufruf zum Bildungsstreik 2014 ist <a href="http://www.uni-erfurt.de/fileadmin/public-docs/Studierendenrat/pdf-Dokumente/Resolution_Bildungsstreik_2014.pdf" target="_blank">hier</a> zu finden
0;Exzellenzinitiative;Das KIT soll sich bei der nächsten Runde der Exzellenzinitiative oder vergleichbaren Förderprogrammen wieder engagieren.;
0;Kameraüberwachung;Wege und Freiplätze auf dem Campus sollen verstärkt kameraüberwacht werden.;
0;Sexismus;Sexismus auf dem Campus ist ein aktuelles Problem, welches aktiv bekämpft werden muss.;
0;Umweltschutzpapier;An Universitätsdruckern soll ausschließlich Umweltschutz-Papier verwendet werden.;
0;Karrieremesse;Das KIT soll keine konkurrierende Veranstaltungen zu etablierten studentisch organisierten Veranstaltungen (z.B. Karrieremesse) durchführen.;
0;Raum der Religionen;Das KIT soll einen geeigneten Raum zur Religionsausübung zur Verfügung stellen.;
0;Politische Bildung;Der AStA soll mehr Geld für Aktionen zur politischen Bildung der Studierenden ausgeben.;
0;Werbung in der Mensa;Hochschulexterne Werbung in der Mensa soll unterbleiben.;
0;Drittmittel;Die Universität soll sich vermehrt um Drittmittel aus der freien Wirtschaft bemühen.;
0;Hörsaalbenennung;Hörsäle sollen nach einem Unternehmen benannt werden dürfen, wenn dieses die Universität finanziell oder materiell unterstützen.;
0;Raumvergabe;Es ist wichtiger, zusätzliche Lernräume am KIT zu schaffen, als studentischen Initiativen Räume zur Verfügung zu stellen.;
0;Zivilklausel;Am KIT soll eine verbindliche Zivilklausel eingeführt werden.;Erklärung zur Zivilklausel in der <a href="http://de.wikipedia.org/wiki/Zivilklausel" target="_blank">Wikipedia</a>
0;AStA-Referate;Der Arbeitsaufwand eines AStA-Referats soll das Ehrenamt (14 Stunden je Woche) nicht überschreiten.;Der momentane Arbeitsaufwand eines AStA-Referenten ist deutlich höher.
0;Politische Arbeit;Der AStA soll sich in seiner politischen Arbeit auf hochschulpolitische Themen beschränken.;
0;AStA-Werbemittel;Der AStA soll Eigenwerbemittel, z.B. bedruckte Stofftaschen verteilen.;
1;Beiträge;5,99€ pro Studierendem je Semester sind für die Aufgaben der Studierendenschaft (Fachschaften und AStA);Der Studierendenschaftsbeitrag am KIT beträgt ab dem kommenden Wintersemester 5,99€
